CodeChild;CodeSession;CodeAnswer;Input;Output;Right?;ResponseTime;
01;1;1;Anger;Anger;true;17.814;
01;10;1;Fear;Anger;false;22.804;
01;10;2;Sadness;Anger;false;22.925;
01;10;3;Joy;Anger;false;16.871;
01;11;1;Joy;Anger;false;13.293;
01;11;2;Fear;Anger;false;14.929;
01;11;3;Sadness;Anger;false;19.458;
01;11;4;Fear;Anger;false;23.009;
01;11;5;Joy;Anger;false;23.529;
01;2;1;Sadness;Anger;false;18.775;
01;2;2;Anger;Anger;true;13.809;
01;2;3;Joy;STOP;false;22.966;
01;2;4;Sadness;STOP;false;15.288;
01;3;1;Sadness;Anger;false;15.333;
01;3;2;Surprise;STOP;false;26.694;
01;4;1;Sadness;STOP;false;19.168;
01;5;1;Anger;STOP;false;12.907;
01;6;1;Joy;STOP;false;27.228;
01;7;1;Fear;STOP;false;26.649;
01;8;1;Fear;Anger;false;39.468;
01;8;2;Sadness;STOP;false;13.316;
01;9;1;Fear;Anger;false;23.324;
01;9;2;Surprise;Anger;false;13.173;
