Code;Date;StartTime;EndTime;Duration;Activity;
1;10/12/2013;14:31;14:32;27.106;RECOGNIZE;
10;10/12/2013;15:4;15:4;0.0;RECOGNIZE;
11;10/12/2013;15:12;15:14;125.905;RECOGNIZE;
12;10/12/2013;16:0;16:0;0.0;RECOGNIZE;
13;10/12/2013;16:39;16:39;0.0;STORY;
14;10/12/2013;16:45;16:45;0.0;RECOGNIZE;
15;10/12/2013;16:48;16:48;0.0;RECOGNIZE;
16;10/12/2013;16:50;16:50;0.0;RECOGNIZE;
17;10/12/2013;16:58;16:58;0.0;RECOGNIZE;
18;10/12/2013;17:5;17:5;0.0;RECOGNIZE;
19;10/12/2013;17:8;17:8;0.0;RECOGNIZE;
2;10/12/2013;14:34;14:35;89.401;RECOGNIZE;
20;10/12/2013;17:9;17:9;0.0;RECOGNIZE;
21;10/12/2013;17:10;17:10;0.0;RECOGNIZE;
22;10/12/2013;17:13;17:13;0.0;RECOGNIZE;
3;10/12/2013;14:40;14:41;49.849;RECOGNIZE;
4;10/12/2013;14:43;14:43;20.975;RECOGNIZE;
5;10/12/2013;14:46;14:47;14.59;RECOGNIZE;
6;10/12/2013;14:49;14:50;28.841;RECOGNIZE;
7;10/12/2013;14:52;14:53;28.243;RECOGNIZE;
8;10/12/2013;14:55;14:56;60.561;RECOGNIZE;
9;10/12/2013;14:59;14:59;0.0;RECOGNIZE;
